Item No.,Category,Product Name,Colour Clarity/Description,Defects,Size,Condition,SKU,Price,Accept Offers,Date Added
1,Men's,Adidas Windbreaker,"Blue, pullover with half zip",None,Large Men's,Very good condition,VWM - Windbreakers,£24.99,Yes,2026-09-04
2,Men's,Trussardi T-Shirt,Small minor discrepancy on the front,Small minor discrepancy on the front,XL,Very good vintage condition,SF - Men's Summer Designer Mix,£19.99,No,2026-09-04
3,Women's,Lululemon Women's Hoodie,Sleeve cuff slightly worn (see images),Sleeve cuff slightly worn (see images),Medium,Very good condition,VWM - Women's Y2K Mix,£26.99,Yes,2026-09-04
4,Unisex,Lacoste Jumper,"Cream, ""Chemise Lacoste"" label

Orange mark on the right shoulder (see images)",Orange mark on the right shoulder (see images),Large,Good vintage condition,VWM - Lacoste Jumpers/Cardigans,£16.99,No,2026-09-04
5,Unisex,Izod Lacoste Jumper,"Green, ""Izod Lacoste"" label",None,Large,Very good vintage condition,VWM - Lacoste Jumpers/Cardigans,£19.99,No,2026-09-04
6,Unisex,Lacoste Polo,"Brown

Slight discrepancy on the front",Slight discrepancy on the front,Large,Good condition,VWM - RL Lacoste Polos,£12.99,No,2026-09-04
7,Women's,Birkenstock Sandals,Pink,None,35,Very good condition,SF - Birkenstock,£29.99,Yes,2026-09-04
8,Women's,Birkenstock Shearling Sandals,"Black, fluffy shearling lining",None,37 (240mm),Very good condition,SF - Birkenstock,£34.99,Yes,2026-09-04
9,Men's,Birkenstock Sandals,,None,42,Good condition,SF - Birkenstock,£24.99,Yes,2026-09-04
10,Unisex,Birkenstock Sandals,,None,,Good condition,SF - Birkenstock,£27.99,Yes,2026-09-04
11,Women's,Birkenstock Sandals,,None,35,Good condition,SF - Birkenstock,£27.99,Yes,2026-09-04
