item_no,source_filename,shot_type,photo_index,notes
001,IMG_2313-Photoroom.JPG,front,1,
001,IMG_2326-Photoroom.JPG,back,2,
001,IMG_2315-Photoroom.JPG,detail,3,
001,IMG_2316-Photoroom.JPG,detail,4,
001,IMG_2317-Photoroom.JPG,detail,5,
001,IMG_2318-Photoroom.JPG,detail,6,
001,IMG_2337-Photoroom.JPG,measure,7,
001,IMG_2338-Photoroom.JPG,measure,8,
001,IMG_2319-Photoroom.JPG,detail,9,
001,IMG_2320-Photoroom.JPG,detail,10,
001,IMG_2321-Photoroom.JPG,detail,11,
001,IMG_2322-Photoroom.JPG,detail,12,
001,IMG_2323-Photoroom.JPG,detail,13,
001,IMG_2324-Photoroom.JPG,detail,14,
001,IMG_2327-Photoroom.JPG,detail,15,
002,IMG_2328-Photoroom.JPG,front,1,
002,IMG_2335-Photoroom.JPG,back,2,
002,IMG_2329-Photoroom.JPG,detail,3,
002,IMG_2330-Photoroom.JPG,detail,4,
002,IMG_2331-Photoroom.JPG,detail,5,
002,IMG_2332.heic,detail,6,
002,IMG_2336-Photoroom.JPG,measure,7,
002,IMG_2333-Photoroom.JPG,detail,8,
002,IMG_2334-Photoroom.JPG,detail,9,
003,IMG_2339-Photoroom.JPG,front,1,
003,IMG_2348-Photoroom.JPG,back,2,
003,IMG_2340-Photoroom.JPG,detail,3,
003,IMG_2341-Photoroom.JPG,detail,4,
003,IMG_2342-Photoroom.JPG,detail,5,
003,IMG_2343-Photoroom.JPG,detail,6,
003,IMG_2349-Photoroom.JPG,measure,7,
003,IMG_2350-Photoroom.JPG,measure,8,
003,IMG_2344-Photoroom.JPG,detail,9,
003,IMG_2345-Photoroom.JPG,detail,10,
003,IMG_2346-Photoroom.JPG,detail,11,
003,IMG_2347-Photoroom.JPG,detail,12,
004,IMG_2352-Photoroom.JPG,front,1,
004,IMG_2363-Photoroom.JPG,back,2,
004,IMG_2353-Photoroom.JPG,detail,3,
004,IMG_2354-Photoroom.JPG,detail,4,
004,IMG_2355-Photoroom.JPG,detail,5,
004,IMG_2356-Photoroom.JPG,detail,6,
004,IMG_2361-Photoroom.JPG,measure,7,
004,IMG_2362-Photoroom.JPG,measure,8,
004,IMG_2357-Photoroom.JPG,detail,9,
004,IMG_2359-Photoroom.JPG,detail,10,
004,IMG_2364-Photoroom.JPG,detail,11,
005,IMG_2365-Photoroom.JPG,front,1,
005,IMG_2374-Photoroom.JPG,back,2,
005,IMG_2366-Photoroom.JPG,detail,3,
005,IMG_2367-Photoroom.JPG,detail,4,
005,IMG_2368-Photoroom.JPG,detail,5,
005,IMG_2369-Photoroom.JPG,detail,6,
005,IMG_2370-Photoroom.JPG,detail,7,
005,IMG_2371-Photoroom.JPG,detail,8,
005,IMG_2372-Photoroom.JPG,detail,9,
005,IMG_2373-Photoroom.JPG,detail,10,
006,IMG_2376-Photoroom.JPG,front,1,
006,IMG_2381-Photoroom.JPG,back,2,
006,IMG_2377-Photoroom.JPG,detail,3,
006,IMG_2378-Photoroom.JPG,detail,4,
006,IMG_2379-Photoroom.JPG,detail,5,
006,IMG_2380-Photoroom.JPG,detail,6,
006,IMG_2382-Photoroom.JPG,measure,7,
006,IMG_2383-Photoroom.JPG,measure,8,
007,IMG_2384-Photoroom.JPG,front,1,
007,IMG_2394-Photoroom.JPG,back,2,
007,IMG_2385-Photoroom.JPG,detail,3,
007,IMG_2386-Photoroom.JPG,detail,4,
007,IMG_2387-Photoroom.JPG,detail,5,
007,IMG_2388-Photoroom.JPG,detail,6,
007,IMG_2392-Photoroom.JPG,measure,7,
007,IMG_2393-Photoroom.JPG,measure,8,
007,IMG_2389-Photoroom.JPG,detail,9,
007,IMG_2390-Photoroom.JPG,detail,10,
007,IMG_2391-Photoroom.JPG,detail,11,
007,IMG_2396-Photoroom.JPG,detail,12,
