item_no,source_filename,shot_type,photo_index,notes
001,IMG_0409-Photoroom.JPG,front,1,
001,IMG_0410-Photoroom.JPG,detail,2,
001,IMG_0411-Photoroom.JPG,detail,3,
001,IMG_0412-Photoroom.JPG,detail,4,
001,IMG_0413-Photoroom.JPG,detail,5,
001,IMG_0432-Photoroom.JPG,detail,6,
001,IMG_0435-Photoroom.JPG,detail,7,
001,IMG_0433-Photoroom.JPG,measure,8,
001,IMG_0434-Photoroom.JPG,measure,9,
001,IMG_0435.heic,card,,number card 1
002,IMG_1682-Photoroom.JPG,front,1,
002,IMG_1683-Photoroom 2.JPG,back,2,
002,IMG_1683-Photoroom 3.JPG,back,3,
002,IMG_1683-Photoroom.JPG,back,4,
002,IMG_0436-Photoroom.JPG,detail,5,
002,IMG_0439-Photoroom 2.JPG,detail,6,
002,IMG_0440-Photoroom.JPG,detail,7,
002,IMG_0441-Photoroom.JPG,detail,8,
002,IMG_0442-Photoroom.JPG,detail,9,
002,IMG_0443-Photoroom.JPG,detail,10,
002,IMG_0444-Photoroom.JPG,detail,11,
002,IMG_0437-Photoroom.JPG,measure,12,
002,IMG_0438-Photoroom.JPG,measure,13,
002,IMG_0436.heic,card,,number card 2
003,IMG_1684-Photoroom.JPG,front,1,
003,IMG_1685-Photoroom.JPG,back,2,
003,IMG_0445-Photoroom 2.JPG,detail,3,
003,IMG_0446-Photoroom.JPG,detail,4,
003,IMG_0447-Photoroom.JPG,detail,5,
003,IMG_0448-Photoroom.JPG,detail,6,
003,IMG_0449-Photoroom.JPG,detail,7,
003,IMG_0450-Photoroom 2.JPG,detail,8,
003,IMG_0451-Photoroom.JPG,measure,9,
003,IMG_0452-Photoroom.JPG,measure,10,
003,IMG_0445.heic,card,,number card 3
004,IMG_0454-Photoroom.JPG,detail,1,
004,IMG_0455-Photoroom.JPG,detail,2,
004,IMG_0456-Photoroom.JPG,detail,3,
004,IMG_0457-Photoroom.JPG,detail,4,
004,IMG_0458-Photoroom.JPG,detail,5,
004,IMG_0459-Photoroom.JPG,detail,6,
004,IMG_0460-Photoroom.JPG,detail,7,
004,IMG_0461-Photoroom.JPG,detail,8,
004,IMG_0462-Photoroom.JPG,detail,9,
004,IMG_0453.heic,card,,number card 4
005,IMG_1689-Photoroom.JPG,front,1,
005,IMG_1690-Photoroom.JPG,back,2,
005,IMG_0464-Photoroom.JPG,detail,3,
005,IMG_0465-Photoroom.JPG,detail,4,
005,IMG_0466-Photoroom.JPG,detail,5,
005,IMG_0467-Photoroom.JPG,detail,6,
005,IMG_0468-Photoroom.JPG,detail,7,
005,IMG_0469-Photoroom.JPG,measure,8,
005,IMG_0470-Photoroom.JPG,measure,9,
005,IMG_0463.heic,card,,number card 5
