Id,Title,Description,Price,Original Price,Brand,Category id,Size id,Condition,Color,Secondary color,Images,Quantity,Shipping weight,Shipping weight unit,Shipping height,Shipping width,Shipping length,Domestic shipping price,Worldwide shipping price,Free domestic shipping,Free worldwide shipping,Tags,SKU,Who made,When made,Smart pricing,Smart pricing price,Accept offers,Is auction,Auction starting price,Cost of Goods,Internal note
,Nike Athletics T Shirt Orange Vintage 90s Womens Small,"Very Good Vintage Condition
Size: Small (Measurements provided on the images)
Era: 1990s

🧵Material: Cotton
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 1990s Vintage Nike t-shirt in bright orange with an embroidered Athletics shield logo at the chest beneath a small Swoosh. Ribbed crew neck and a boxy vintage cut. Slight discrepancy on the back of the neck, barely noticeable (see images).",12.99,,Nike,4e101a09-6234-2e61-6ee9-2f485d8269cd,0a197135-09d9-7a16-9bc8-9fe09264a06a,VeryGood,Orange,,001_1.jpg|001_2.jpg|001_3.jpg|001_4.jpg|001_5.jpg|001_6.jpg|001_7.jpg|001_8.jpg|001_9.jpg,1,190,Grams,,,,2.95,,FALSE,FALSE,nike|t shirt|athletics|orange|vintage|90s|y2k|womens|small|sportswear|streetwear,VWM - Women's Y2K Mix,SomeoneElse,From1990s,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: T-Shirt | Sleeve length: Short Sleeve
,Ralph Lauren Shirt Oxford Button Down Pink Womens Size 16,"Very Good Condition
Size: 16 (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton oxford
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Ralph Lauren oxford shirt in soft pink with the signature embroidered pony at the chest. Button-down collar, full button placket and a curved shirt tail hem.",18.00,,Ralph Lauren,ccf577d4-1398-7c82-2ea9-569848ab636e,56e831c3-9d80-8f60-8607-aef663a28e0b,VeryGood,Pink,,002_1.jpg|002_2.jpg|002_3.jpg|002_4.jpg|002_5.jpg|002_6.jpg|002_7.jpg|002_8.jpg|002_9.jpg|002_10.jpg|002_11.jpg|002_12.jpg|002_13.jpg,1,320,Grams,,,,2.95,,FALSE,FALSE,ralph lauren|shirt|oxford|button down|pink|preppy|womens|size 16|vintage|smart casual,VWM - Women's Y2K Mix,SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: Button-Up | Sleeve length: Long Sleeve
,Chicago Bulls Jersey Boozer 5 NBA Adidas Red Vintage Womens 16,"Very Good Condition
Size: 16 (Measurements provided on the images)
Era: 2010s

🧵Material: Polyester mesh
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2010s Adidas NBA jersey for the Chicago Bulls in red with Carlos Boozer number 5 in white. Mesh body, contrast black side panels, embroidered Bulls crest and a stitched NBA logo at the neck.",17.99,,Adidas,f4a67f28-053d-8610-20a4-9573961c33e4,56e831c3-9d80-8f60-8607-aef663a28e0b,VeryGood,Red,Black,003_1.jpg|003_2.jpg|003_3.jpg|003_4.jpg|003_5.jpg|003_6.jpg|003_7.jpg|003_8.jpg|003_9.jpg|003_10.jpg,1,220,Grams,,,,2.95,,FALSE,FALSE,chicago bulls|nba|jersey|basketball|carlos boozer|adidas|red|vintage|womens|size 16|sportswear,VWM - Women's Y2K Mix,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: no Jersey option in the Type list seen so far
,Ralph Lauren Long Sleeve Henley Top Red Womens Small UK 8,"Very Good Condition
Size: Small (8) (Measurements provided on the images)
Era: 2010s

🧵Material: Cotton jersey
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2010s Ralph Lauren long sleeve henley top in red with a three-button placket and contrast white buttons. Embroidered navy pony at the chest and a slim tailored cut.",14.99,,Ralph Lauren,915cc70c-4838-5a4b-8ca3-7ef0f62e072e,8810c9c8-178a-5fe2-9569-93281ba3340e,VeryGood,Red,,004_1.jpg|004_2.jpg|004_3.jpg|004_4.jpg|004_5.jpg|004_6.jpg|004_7.jpg|004_8.jpg|004_9.jpg,1,260,Grams,,,,2.95,,FALSE,FALSE,ralph lauren|henley|long sleeve|top|red|preppy|womens|small|uk 8|vintage|cotton,VWM - Women's Y2K Mix,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: T-Shirt | Sleeve length: Long Sleeve
,Denver Broncos Jersey Anderson 22 NFL Nike Orange Womens Large,"Good Condition
Size: Large (Measurements provided on the images)
Era: 2010s

🧵Material: Polyester mesh
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2010s Nike NFL jersey for the Denver Broncos in orange with C.J. Anderson number 22 in white. Mesh body, twin navy sleeve stripes and a stitched Broncos logo at the collar.",14.99,,Nike,f4a67f28-053d-8610-20a4-9573961c33e4,903b02f6-1f5a-36ed-6620-bfae7fb51f8f,Good,Orange,Navy,005_1.jpg|005_2.jpg|005_3.jpg|005_4.jpg|005_5.jpg|005_6.jpg|005_7.jpg|005_8.jpg|005_9.jpg,1,240,Grams,,,,2.95,,FALSE,FALSE,denver broncos|nfl|jersey|american football|cj anderson|nike|orange|womens|large|sportswear|vintage,VWM - Women's Y2K Mix,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: no Jersey option in the Type list seen so far
,Ralph Lauren Polo Shirt Black Purple Pony Vintage Mens Small,"Very Good Condition
Size: Small Men's (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Vintage Ralph Lauren polo shirt in black with a contrast purple embroidered pony at the chest. Two-button placket, ribbed collar and cuffs and side vents at the hem.",13.99,,Ralph Lauren,53a08abc-4447-97e2-211b-4e5b23c79b26,78c1966f-1623-2e16-092e-b126ed286978,VeryGood,Black,,006_1.jpg|006_2.jpg|006_3.jpg|006_4.jpg|006_5.jpg|006_6.jpg|006_7.jpg|006_8.jpg|006_9.jpg|006_10.jpg,1,260,Grams,,,,2.95,,FALSE,FALSE,ralph lauren|polo|polo shirt|black|purple pony|mens|small|vintage|preppy|y2k|cotton pique,VWM - RL Lacoste Polos,SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,6.60,Department: Men | Type: Polo
,Ralph Lauren Polo Shirt Green Yellow Pony Vintage Mens Large,"Very Good Condition
Size: Large Men's (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Vintage Ralph Lauren polo shirt in green with a contrast yellow embroidered pony at the chest. Two-button placket, ribbed collar and cuffs and side vents at the hem.",14.99,,Ralph Lauren,53a08abc-4447-97e2-211b-4e5b23c79b26,f9ea6dc9-36f2-458a-3070-f8947835429a,VeryGood,Green,,007_1.jpg|007_2.jpg|007_3.jpg|007_4.jpg|007_5.jpg|007_6.jpg|007_7.jpg|007_8.jpg|007_9.jpg|007_10.jpg|007_11.jpg,1,300,Grams,,,,2.95,,FALSE,FALSE,ralph lauren|polo|polo shirt|green|yellow pony|mens|large|vintage|preppy|y2k|cotton pique,VWM - RL Lacoste Polos,SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,6.60,Department: Men | Type: Polo
,Ralph Lauren Polo Shirt Blue Pink Pony Vintage Mens Medium,"Very Good Vintage Condition
Size: Medium Men's (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Vintage Ralph Lauren polo shirt in bright blue with a contrast pink embroidered pony at the chest. Two-button placket, ribbed collar and cuffs and side vents at the hem. Very small discrepancy on the back (see images).",13.99,,Ralph Lauren,53a08abc-4447-97e2-211b-4e5b23c79b26,51fb40ab-9573-468e-1d52-be5be9d44e75,VeryGood,Blue,,008_1.jpg|008_2.jpg|008_3.jpg|008_4.jpg|008_5.jpg|008_6.jpg|008_7.jpg|008_8.jpg|008_9.jpg|008_10.jpg|008_11.jpg|008_12.jpg,1,280,Grams,,,,2.95,,FALSE,FALSE,ralph lauren|polo|polo shirt|blue|pink pony|mens|medium|vintage|preppy|y2k|cotton pique,VWM - RL Lacoste Polos,SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,6.60,Department: Men | Type: Polo
,Ralph Lauren Polo Shirt Grey Taupe Vintage Mens Medium,"Very Good Vintage Condition
Size: Medium (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Vintage Ralph Lauren polo shirt in grey taupe with a tonal embroidered pony at the chest. Two-button placket, ribbed collar and cuffs and side vents at the hem. Slight discrepancy on the front.",12.99,,Ralph Lauren,53a08abc-4447-97e2-211b-4e5b23c79b26,51fb40ab-9573-468e-1d52-be5be9d44e75,VeryGood,Gray,,009_1.jpg|009_2.jpg|009_3.jpg|009_4.jpg|009_5.jpg|009_6.jpg|009_7.jpg|009_8.jpg|009_9.jpg|009_10.jpg|009_11.jpg|009_12.jpg,1,280,Grams,,,,2.95,,FALSE,FALSE,ralph lauren|polo|polo shirt|grey|taupe|mens|medium|vintage|preppy|y2k|cotton pique,VWM - RL Lacoste Polos,SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,6.60,Department: Men | Type: Polo
,Ralph Lauren Polo Shirt Navy Blue Vintage Mens Small,"Very Good Condition
Size: Small Men's (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Vintage Ralph Lauren polo shirt in navy blue with a white embroidered pony at the chest. Two-button placket, ribbed collar and cuffs and side vents at the hem.",14.99,,Ralph Lauren,53a08abc-4447-97e2-211b-4e5b23c79b26,78c1966f-1623-2e16-092e-b126ed286978,VeryGood,Navy,,010_1.jpg|010_2.jpg|010_3.jpg|010_4.jpg|010_5.jpg|010_6.jpg|010_7.jpg|010_8.jpg|010_9.jpg,1,260,Grams,,,,2.95,,FALSE,FALSE,ralph lauren|polo|polo shirt|navy|blue|mens|small|vintage|preppy|y2k|cotton pique,VWM - RL Lacoste Polos,SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,6.60,Department: Men | Type: Polo
