item_no,source_filename,shot_type,photo_index,notes
001,IMG_2093-Photoroom.JPG,front,1,
001,IMG_2102-Photoroom.JPG,back,2,
001,IMG_2094-Photoroom.JPG,detail,3,
001,IMG_2095-Photoroom.JPG,detail,4,
001,IMG_2096-Photoroom.JPG,detail,5,
001,IMG_2097-Photoroom.JPG,detail,6,
001,IMG_2100-Photoroom.JPG,measure,7,
001,IMG_2101-Photoroom.JPG,measure,8,
001,IMG_2098-Photoroom.JPG,detail,9,
001,IMG_2099-Photoroom.JPG,detail,10,
001,IMG_2103-Photoroom.JPG,detail,11,
002,IMG_2104-Photoroom.JPG,front,1,
002,IMG_2111-Photoroom.JPG,back,2,
002,IMG_2105-Photoroom.JPG,detail,3,
002,IMG_2106-Photoroom.JPG,detail,4,
002,IMG_2107-Photoroom.JPG,detail,5,
002,IMG_2108-Photoroom.JPG,detail,6,
002,IMG_2113-Photoroom.JPG,measure,7,
002,IMG_2114-Photoroom.JPG,measure,8,
002,IMG_2109-Photoroom.JPG,detail,9,
002,IMG_2112-Photoroom.JPG,detail,10,
003,IMG_2115-Photoroom.JPG,front,1,
003,IMG_2116-Photoroom.JPG,detail,2,
003,IMG_2117-Photoroom.JPG,detail,3,
003,IMG_2118-Photoroom.JPG,detail,4,
003,IMG_2119-Photoroom.JPG,detail,5,
003,IMG_2123-Photoroom.JPG,measure,6,
003,IMG_2124-Photoroom.JPG,measure,7,
003,IMG_2120-Photoroom.JPG,detail,8,
003,IMG_2121-Photoroom.JPG,detail,9,
003,IMG_2122-Photoroom.JPG,detail,10,
004,IMG_2126-Photoroom.JPG,front,1,
004,IMG_2137-Photoroom.JPG,back,2,
004,IMG_2127-Photoroom.JPG,detail,3,
004,IMG_2128-Photoroom.JPG,detail,4,
004,IMG_2129-Photoroom.JPG,detail,5,
004,IMG_2130-Photoroom.JPG,detail,6,
004,IMG_2133-Photoroom.JPG,measure,7,
004,IMG_2134-Photoroom.JPG,measure,8,
004,IMG_2135-Photoroom.JPG,measure,9,
004,IMG_2136-Photoroom.JPG,measure,10,
004,IMG_2131-Photoroom.JPG,detail,11,
004,IMG_2132-Photoroom.JPG,detail,12,
005,IMG_2480-Photoroom.JPG,front,1,
005,IMG_2488-Photoroom.JPG,back,2,
005,IMG_2481-Photoroom.JPG,detail,3,
005,IMG_2482-Photoroom.JPG,detail,4,
005,IMG_2483-Photoroom.JPG,detail,5,
005,IMG_2484-Photoroom.JPG,detail,6,
005,IMG_2489-Photoroom.JPG,measure,7,
005,IMG_2490-Photoroom.JPG,measure,8,
005,IMG_2485-Photoroom.JPG,detail,9,
005,IMG_2486-Photoroom.JPG,detail,10,
005,IMG_2487-Photoroom.JPG,detail,11,
006,IMG_2491-Photoroom.JPG,front,1,
006,IMG_2499-Photoroom.JPG,back,2,
006,IMG_2492-Photoroom.JPG,detail,3,
006,IMG_2493-Photoroom.JPG,detail,4,
006,IMG_2494-Photoroom.JPG,detail,5,
006,IMG_2495-Photoroom.JPG,detail,6,
006,IMG_2500-Photoroom.JPG,measure,7,
006,IMG_2501-Photoroom.JPG,measure,8,
006,IMG_2496-Photoroom.JPG,detail,9,
006,IMG_2497-Photoroom.JPG,detail,10,
006,IMG_2498-Photoroom.JPG,detail,11,
007,IMG_2502-Photoroom.JPG,front,1,
007,IMG_2507-Photoroom.JPG,back,2,
007,IMG_2503-Photoroom.JPG,detail,3,
007,IMG_2504-Photoroom.JPG,detail,4,
007,IMG_2505-Photoroom.JPG,detail,5,
007,IMG_2506-Photoroom.JPG,detail,6,
007,IMG_2508-Photoroom.JPG,detail,7,
007,IMG_2509-Photoroom.JPG,detail,8,
008,IMG_2511-Photoroom.JPG,front,1,
008,IMG_2515-Photoroom.JPG,back,2,
008,IMG_2510-Photoroom.JPG,detail,3,
008,IMG_2512-Photoroom.JPG,detail,4,
008,IMG_2513-Photoroom.JPG,detail,5,
008,IMG_2514-Photoroom.JPG,detail,6,
008,IMG_2516-Photoroom.JPG,detail,7,
008,IMG_2517-Photoroom.JPG,detail,8,
008,IMG_2518-Photoroom.JPG,detail,9,
008,IMG_2519-Photoroom.JPG,detail,10,
009,IMG_2528-Photoroom.JPG,front,1,
009,IMG_2521-Photoroom.JPG,back,2,
009,IMG_2520-Photoroom.JPG,detail,3,
009,IMG_2522-Photoroom.JPG,detail,4,
009,IMG_2523-Photoroom.JPG,detail,5,
009,IMG_2524-Photoroom.JPG,detail,6,
009,IMG_2525-Photoroom.JPG,detail,7,
009,IMG_2526-Photoroom.JPG,detail,8,
009,IMG_2527-Photoroom.JPG,detail,9,
010,IMG_2538-Photoroom.JPG,front,1,
010,IMG_2530-Photoroom.JPG,back,2,
010,IMG_2529-Photoroom.JPG,detail,3,
010,IMG_2531-Photoroom.JPG,detail,4,
010,IMG_2532-Photoroom.JPG,detail,5,
010,IMG_2533-Photoroom.JPG,detail,6,
010,IMG_2534-Photoroom.JPG,detail,7,
010,IMG_2535-Photoroom.JPG,detail,8,
010,IMG_2536-Photoroom.JPG,detail,9,
010,IMG_2537-Photoroom.JPG,detail,10,
011,IMG_2548-Photoroom.JPG,front,1,
011,IMG_2542-Photoroom.JPG,back,2,
011,IMG_2540-Photoroom.JPG,detail,3,
011,IMG_2541-Photoroom.JPG,detail,4,
011,IMG_2543-Photoroom.JPG,detail,5,
011,IMG_2544-Photoroom.JPG,detail,6,
011,IMG_2545-Photoroom.JPG,detail,7,
011,IMG_2546-Photoroom.JPG,detail,8,
011,IMG_2547-Photoroom.JPG,detail,9,
