item_no,title,brand,category_id,size_id,condition,color,secondary_color,price,sku,quantity,era,era_evidence,material,material_source,defects,defect_severity,Shipping weight,Shipping weight unit,Domestic shipping price,Worldwide shipping price,Free domestic shipping,Free worldwide shipping,Tags,Who made,When made,Smart pricing,Smart pricing price,Accept offers,Is auction,Auction starting price,Cost of Goods,Internal note,description,price_source,price_basis,flags
001,Adidas Windbreaker Blue Red Mens Large Vintage 90s Pullover Half Zip Jacket,Adidas,9123dbca-1d72-2ad1-823b-7786ffd12661,f9ea6dc9-36f2-458a-3070-f8947835429a,VeryGood,Blue,Red,24.99,VWM - Windbreakers,1,1990s,"Three stripes down each sleeve with a small embroidered performance logo at the chest, on a lightweight nylon shell with a contrast red lining - the 1990s Adidas pullover.",Nylon,estimated - no composition tag photographed,None,None,480,Grams,2.95,,FALSE,FALSE,adidas|windbreaker|blue|red|mens|large|vintage|90s|pullover|half|zip|jacket,SomeoneElse,From1990s,FALSE,,TRUE,FALSE,,9.60,Department: Men | Style: Windbreaker | Outer Shell Material: Nylon,"Very Good Condition
Size: Large Men's (Measurements provided on the images)
Era: 1990s

🧵Material: Nylon
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 1990s vintage Adidas pullover windbreaker in bright blue with red contrast panels and the three stripes down each sleeve. Half-length zip, lined hood, kangaroo pocket and elasticated cuffs and hem.",owner,,
002,Trussardi T Shirt Grey Mens XL Vintage Designer V Neck Logo Short Sleeve Tee,Trussardi,4b024732-289e-58a7-7694-c28964660969,471245b9-1139-0a68-77c5-a26a9e635e2f,VeryGood,Gray,Red,19.99,SF - Summer Designer Mix,1,2000s,Large collegiate TRU TRUSSARDI chest print on a soft washed cotton jersey with a woven neck label - the label's 2000s sportswear line.,Cotton,estimated - no composition tag photographed,Small minor discrepancy on the front,Minor,190,Grams,2.95,,FALSE,FALSE,trussardi|t|shirt|grey|mens|xl|vintage|designer|v|neck|logo|short|sleeve|tee,SomeoneElse,From2000To2006,FALSE,,FALSE,FALSE,,6.45,Department: Men | Type: T-Shirt | Neckline: V-Neck | Sleeve length: Short Sleeve,"Very Good Vintage Condition
Size: XL (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Trussardi V-neck t-shirt in washed grey with a large TRU TRUSSARDI collegiate print across the chest. Soft cotton jersey with a ribbed V neckline and short sleeves. Small minor discrepancy on the front.",owner,,COLOUR FILLED FROM PHOTOS - the ledger's colour cell held the defect text.
003,Lululemon Hoodie Grey Womens Medium Full Zip Athletic Jacket Scuba Sweatshirt,Lululemon,b1d3ddb2-054d-46ee-52e1-4f079b388670,fb288854-9af5-1e28-20b7-2837ee7b6aed,VeryGood,Gray,Black,26.99,VWM - Women's Y2K Mix,1,2010s,Lululemon's metal-stamped hood crest over a striped fair-isle yoke and a chunky two-way zip - the 2010s Scuba-style hoodie.,Cotton and polyester fleece,estimated - no composition tag photographed,Sleeve cuff slightly worn (see images),Minor,520,Grams,2.95,,FALSE,FALSE,lululemon|hoodie|grey|womens|medium|full|zip|athletic|jacket|scuba|sweatshirt,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Full Zip | Neckline: Hooded (free text),"Very Good Condition
Size: Medium (Measurements provided on the images)
Era: 2010s

🧵Material: Cotton and polyester fleece
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Lululemon full-zip hoodie in heather grey with a black and cream patterned yoke across the chest and shoulders. Oversized hood with a stamped metal crest, thumbhole cuffs and side pockets. Sleeve cuff slightly worn (see images).",owner,,COLOUR FILLED FROM PHOTOS - the ledger's colour cell held the defect text.
004,Lacoste Jumper Cream Large Vintage Chemise Lacoste V Neck Knit Sweater Croc,Lacoste,e12730bd-4934-2d3a-1813-1f1bf0ba07a8,f9ea6dc9-36f2-458a-3070-f8947835429a,Good,Cream,,16.99,World Vintage Lacoste Cardigans,1,1980s,"Neck label reads CHEMISE LACOSTE with the French devanlay wording - the pre-1990s label, before the brand moved to the plain Lacoste wordmark.",Wool blend knit,estimated - composition tag photographed but not legible,Orange mark on the right shoulder (see images),Minor,430,Grams,2.95,,FALSE,FALSE,lacoste|jumper|cream|large|vintage|chemise|v|neck|knit|sweater|croc,SomeoneElse,From1980s,FALSE,,FALSE,FALSE,,9.60,Department: Unisex Adults | Style: Pullover | Neckline: V-Neck | Sleeve length: Long Sleeve,"Good Vintage Condition
Size: Large (Measurements provided on the images)
Era: 1980s

🧵Material: Wool blend knit
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Vintage Lacoste V-neck jumper in cream with the embroidered crocodile at the chest and the original Chemise Lacoste neck label. Fine knit with ribbed cuffs, hem and neckline. Orange mark on the right shoulder (see images).",owner,,
005,Izod Lacoste Jumper Green Large Vintage V Neck Knit Sweater Croc Pullover,Izod Lacoste,e12730bd-4934-2d3a-1813-1f1bf0ba07a8,f9ea6dc9-36f2-458a-3070-f8947835429a,VeryGood,Green,,19.99,World Vintage Lacoste Cardigans,1,1970s to 1980s,"Neck label reads IZOD LACOSTE - the American licence, which ran until 1993, so this predates the split.",Wool blend knit,estimated - composition tag photographed but not legible,None,None,430,Grams,2.95,,FALSE,FALSE,izod|lacoste|jumper|green|large|vintage|v|neck|knit|sweater|croc|pullover,SomeoneElse,Before2007,FALSE,,FALSE,FALSE,,9.60,Department: Unisex Adults | Style: Pullover | Neckline: V-Neck | Sleeve length: Long Sleeve,"Very Good Vintage Condition
Size: Large (Measurements provided on the images)
Era: 1970s to 1980s

🧵Material: Wool blend knit
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Vintage Izod Lacoste V-neck jumper in bright green with the embroidered crocodile at the chest. Fine knit with ribbed cuffs, hem and neckline, and the original Izod Lacoste neck label.",owner,,
006,Lacoste Polo Shirt Brown Large Vintage Pique Croc Short Sleeve Polo Top,Lacoste,53a08abc-4447-97e2-211b-4e5b23c79b26,f9ea6dc9-36f2-458a-3070-f8947835429a,Good,Brown,,12.99,VWM - RL Lacoste Polos,1,2000s,Plain Lacoste wordmark neck label on a cotton pique with a two-button placket - the standard polo of the 2000s.,Cotton pique,estimated - care tag photographed but composition not legible,Slight discrepancy on the front,Minor,270,Grams,2.95,,FALSE,FALSE,lacoste|polo|shirt|brown|large|vintage|pique|croc|short|sleeve|top,SomeoneElse,From2000To2006,FALSE,,FALSE,FALSE,,6.60,Department: Unisex Adults | Type: Polo | Neckline: Collared | Sleeve length: Short Sleeve,"Good Condition
Size: Large (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Lacoste pique polo shirt in deep brown with the embroidered crocodile at the chest. Ribbed collar and sleeve bands, two-button placket and a straight ribbed hem. Slight discrepancy on the front.",owner,,
007,Birkenstock Rio Sandals Pink Womens UK 2 EU 35 Patent Ankle Strap Sandals,Birkenstock,8ca295e3-4da1-60b0-9788-b5ab12598d45,e097cb28-240e-3a14-3d6c-97e36b74807c,VeryGood,Pink,Brown,29.99,SF - Birkenstock,1,2010s,"The Rio ankle-strap style in patent pink on a white EVA sole, a colourway Birkenstock ran through the 2010s.",Patent upper with cork footbed,estimated - no composition tag photographed,None,None,700,Grams,2.95,,FALSE,FALSE,birkenstock|rio|sandals|pink|womens|uk|2|eu|35|patent|ankle|strap,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,,Department: Women | Style: Sandal,"Very Good Condition
Size: 35 (Measurements provided on the images)
Era: 2010s

🧵Material: Patent upper with cork footbed
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Birkenstock Rio sandals in bright pink patent with two adjustable buckle straps and an ankle strap over a contoured cork footbed.",owner,,NO COST RATE - cost-rates.csv has no row for 'SF - Birkenstock'.
008,Birkenstock Shearling Sandals Black Womens UK 4 EU 37 Arizona Fur Lined,Birkenstock,8ca295e3-4da1-60b0-9788-b5ab12598d45,92210b87-92e9-2ba1-6635-a882e9af9275,VeryGood,Black,Brown,34.99,SF - Birkenstock,1,2010s,Two-strap Arizona with a shearling lining and the footbed stamped 37 - the fur-lined winter run Birkenstock has made through the 2010s.,Leather upper with shearling lining and cork footbed,estimated - no composition tag photographed,None,None,760,Grams,2.95,,FALSE,FALSE,birkenstock|shearling|sandals|black|womens|uk|4|eu|37|arizona|fur|lined,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,,Department: Women | Style: Sandal,"Very Good Condition
Size: 37 (240mm) (Measurements provided on the images)
Era: 2010s

🧵Material: Leather upper with shearling lining and cork footbed
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Birkenstock shearling-lined sandals in black with two adjustable buckle straps over a contoured cork footbed and a soft shearling lining throughout.",owner,,NO COST RATE - cost-rates.csv has no row for 'SF - Birkenstock'.
009,Birkenstock Gizeh Sandals Brown Mens UK 8 EU 42 Leather Toe Post Sandals,Birkenstock,001a4f3a-047b-0f09-6443-a3fd163d55b3,c5b4fd32-30d8-66da-5e18-db383b1f87f4,Good,Brown,,24.99,SF - Birkenstock,1,2010s,"The Gizeh toe-post style in oiled brown leather on a black EVA sole - Birkenstock's long-running shape, with wear consistent with the 2010s.",Leather upper with cork footbed,estimated - no composition tag photographed,None,None,780,Grams,2.95,,FALSE,FALSE,birkenstock|gizeh|sandals|brown|mens|uk|8|eu|42|leather|toe|post,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,,Department: Men | Style: Sandal,"Good Condition
Size: 42 (Measurements provided on the images)
Era: 2010s

🧵Material: Leather upper with cork footbed
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Birkenstock Gizeh sandals in oiled brown leather with a toe-post strap and an adjustable buckle over a contoured cork footbed.",owner,,COLOUR FILLED FROM PHOTOS - the ledger's colour cell was empty. NO COST RATE - cost-rates.csv has no row for 'SF - Birkenstock'.
010,Birkenstock Madrid Sandals Grey Vintage Single Strap Slide Sandals Silver,Birkenstock,8ca295e3-4da1-60b0-9788-b5ab12598d45,,Good,Gray,Brown,27.99,SF - Birkenstock,1,2010s,The single-strap Madrid in a metallic grey finish over a cork footbed - a long-running Birkenstock shape.,Synthetic upper with cork footbed,estimated - no composition tag photographed,None,None,640,Grams,2.95,,FALSE,FALSE,birkenstock|madrid|sandals|grey|vintage|single|strap|slide|silver,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,,Department: Unisex Adults | Style: Sandal,"Good Condition
Size: See measurements on the images
Era: 2010s

🧵Material: Synthetic upper with cork footbed
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Birkenstock Madrid sandals in metallic grey with a single adjustable buckle strap over a contoured cork footbed.",owner,,COLOUR FILLED FROM PHOTOS - the ledger's colour cell was empty. SIZE NOT SET - ledger size blank and no size marking legible in the photographs. NO COST RATE - cost-rates.csv has no row for 'SF - Birkenstock'.
