Id,Title,Description,Price,Original Price,Brand,Category id,Size id,Condition,Color,Secondary color,Images,Quantity,Shipping weight,Shipping weight unit,Shipping height,Shipping width,Shipping length,Domestic shipping price,Worldwide shipping price,Free domestic shipping,Free worldwide shipping,Tags,SKU,Who made,When made,Smart pricing,Smart pricing price,Accept offers,Is auction,Auction starting price,Cost of Goods,Internal note
,Adidas Windbreaker Blue Red Mens Large Vintage 90s Pullover Half Zip Jacket,"Very Good Condition
Size: Large Men's (Measurements provided on the images)
Era: 1990s

🧵Material: Nylon
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 1990s vintage Adidas pullover windbreaker in bright blue with red contrast panels and the three stripes down each sleeve. Half-length zip, lined hood, kangaroo pocket and elasticated cuffs and hem.",24.99,,Adidas,9123dbca-1d72-2ad1-823b-7786ffd12661,f9ea6dc9-36f2-458a-3070-f8947835429a,VeryGood,Blue,Red,001_01.jpg|001_02.jpg|001_03.jpg|001_04.jpg|001_05.jpg|001_06.jpg|001_07.jpg|001_08.jpg|001_09.jpg|001_10.jpg|001_11.jpg,1,480,Grams,,,,2.95,,FALSE,FALSE,adidas|windbreaker|blue|red|mens|large|vintage|90s|pullover|half|zip|jacket,VWM - Windbreakers,SomeoneElse,From1990s,FALSE,,TRUE,FALSE,,9.60,Department: Men | Style: Windbreaker | Outer Shell Material: Nylon
,Trussardi T Shirt Grey Mens XL Vintage Designer V Neck Logo Short Sleeve Tee,"Very Good Vintage Condition
Size: XL (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Trussardi V-neck t-shirt in washed grey with a large TRU TRUSSARDI collegiate print across the chest. Soft cotton jersey with a ribbed V neckline and short sleeves. Small minor discrepancy on the front.",19.99,,Trussardi,4b024732-289e-58a7-7694-c28964660969,471245b9-1139-0a68-77c5-a26a9e635e2f,VeryGood,Gray,Red,002_01.jpg|002_02.jpg|002_03.jpg|002_04.jpg|002_05.jpg|002_06.jpg|002_07.jpg|002_08.jpg|002_09.jpg|002_10.jpg,1,190,Grams,,,,2.95,,FALSE,FALSE,trussardi|t|shirt|grey|mens|xl|vintage|designer|v|neck|logo|short|sleeve|tee,SF - Summer Designer Mix,SomeoneElse,From2000To2006,FALSE,,FALSE,FALSE,,6.45,Department: Men | Type: T-Shirt | Neckline: V-Neck | Sleeve length: Short Sleeve
,Lululemon Hoodie Grey Womens Medium Full Zip Athletic Jacket Scuba Sweatshirt,"Very Good Condition
Size: Medium (Measurements provided on the images)
Era: 2010s

🧵Material: Cotton and polyester fleece
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Lululemon full-zip hoodie in heather grey with a black and cream patterned yoke across the chest and shoulders. Oversized hood with a stamped metal crest, thumbhole cuffs and side pockets. Sleeve cuff slightly worn (see images).",26.99,,Lululemon,b1d3ddb2-054d-46ee-52e1-4f079b388670,fb288854-9af5-1e28-20b7-2837ee7b6aed,VeryGood,Gray,Black,003_01.jpg|003_02.jpg|003_03.jpg|003_04.jpg|003_05.jpg|003_06.jpg|003_07.jpg|003_08.jpg|003_09.jpg|003_10.jpg,1,520,Grams,,,,2.95,,FALSE,FALSE,lululemon|hoodie|grey|womens|medium|full|zip|athletic|jacket|scuba|sweatshirt,VWM - Women's Y2K Mix,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Full Zip | Neckline: Hooded (free text)
,Lacoste Jumper Cream Large Vintage Chemise Lacoste V Neck Knit Sweater Croc,"Good Vintage Condition
Size: Large (Measurements provided on the images)
Era: 1980s

🧵Material: Wool blend knit
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Vintage Lacoste V-neck jumper in cream with the embroidered crocodile at the chest and the original Chemise Lacoste neck label. Fine knit with ribbed cuffs, hem and neckline. Orange mark on the right shoulder (see images).",16.99,,Lacoste,e12730bd-4934-2d3a-1813-1f1bf0ba07a8,f9ea6dc9-36f2-458a-3070-f8947835429a,Good,Cream,,004_01.jpg|004_02.jpg|004_03.jpg|004_04.jpg|004_05.jpg|004_06.jpg|004_07.jpg|004_08.jpg|004_09.jpg|004_10.jpg|004_11.jpg|004_12.jpg,1,430,Grams,,,,2.95,,FALSE,FALSE,lacoste|jumper|cream|large|vintage|chemise|v|neck|knit|sweater|croc,World Vintage Lacoste Cardigans,SomeoneElse,From1980s,FALSE,,FALSE,FALSE,,9.60,Department: Unisex Adults | Style: Pullover | Neckline: V-Neck | Sleeve length: Long Sleeve
,Izod Lacoste Jumper Green Large Vintage V Neck Knit Sweater Croc Pullover,"Very Good Vintage Condition
Size: Large (Measurements provided on the images)
Era: 1970s to 1980s

🧵Material: Wool blend knit
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Vintage Izod Lacoste V-neck jumper in bright green with the embroidered crocodile at the chest. Fine knit with ribbed cuffs, hem and neckline, and the original Izod Lacoste neck label.",19.99,,Izod Lacoste,e12730bd-4934-2d3a-1813-1f1bf0ba07a8,f9ea6dc9-36f2-458a-3070-f8947835429a,VeryGood,Green,,005_01.jpg|005_02.jpg|005_03.jpg|005_04.jpg|005_05.jpg|005_06.jpg|005_07.jpg|005_08.jpg|005_09.jpg|005_10.jpg|005_11.jpg,1,430,Grams,,,,2.95,,FALSE,FALSE,izod|lacoste|jumper|green|large|vintage|v|neck|knit|sweater|croc|pullover,World Vintage Lacoste Cardigans,SomeoneElse,Before2007,FALSE,,FALSE,FALSE,,9.60,Department: Unisex Adults | Style: Pullover | Neckline: V-Neck | Sleeve length: Long Sleeve
,Lacoste Polo Shirt Brown Large Vintage Pique Croc Short Sleeve Polo Top,"Good Condition
Size: Large (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Lacoste pique polo shirt in deep brown with the embroidered crocodile at the chest. Ribbed collar and sleeve bands, two-button placket and a straight ribbed hem. Slight discrepancy on the front.",12.99,,Lacoste,53a08abc-4447-97e2-211b-4e5b23c79b26,f9ea6dc9-36f2-458a-3070-f8947835429a,Good,Brown,,006_01.jpg|006_02.jpg|006_03.jpg|006_04.jpg|006_05.jpg|006_06.jpg|006_07.jpg|006_08.jpg|006_09.jpg|006_10.jpg|006_11.jpg,1,270,Grams,,,,2.95,,FALSE,FALSE,lacoste|polo|shirt|brown|large|vintage|pique|croc|short|sleeve|top,VWM - RL Lacoste Polos,SomeoneElse,From2000To2006,FALSE,,FALSE,FALSE,,6.60,Department: Unisex Adults | Type: Polo | Neckline: Collared | Sleeve length: Short Sleeve
,Birkenstock Rio Sandals Pink Womens UK 2 EU 35 Patent Ankle Strap Sandals,"Very Good Condition
Size: 35 (Measurements provided on the images)
Era: 2010s

🧵Material: Patent upper with cork footbed
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Birkenstock Rio sandals in bright pink patent with two adjustable buckle straps and an ankle strap over a contoured cork footbed.",29.99,,Birkenstock,8ca295e3-4da1-60b0-9788-b5ab12598d45,e097cb28-240e-3a14-3d6c-97e36b74807c,VeryGood,Pink,Brown,007_01.jpg|007_02.jpg|007_03.jpg|007_04.jpg|007_05.jpg|007_06.jpg|007_07.jpg|007_08.jpg,1,700,Grams,,,,2.95,,FALSE,FALSE,birkenstock|rio|sandals|pink|womens|uk|2|eu|35|patent|ankle|strap,SF - Birkenstock,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,,Department: Women | Style: Sandal
,Birkenstock Shearling Sandals Black Womens UK 4 EU 37 Arizona Fur Lined,"Very Good Condition
Size: 37 (240mm) (Measurements provided on the images)
Era: 2010s

🧵Material: Leather upper with shearling lining and cork footbed
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Birkenstock shearling-lined sandals in black with two adjustable buckle straps over a contoured cork footbed and a soft shearling lining throughout.",34.99,,Birkenstock,8ca295e3-4da1-60b0-9788-b5ab12598d45,92210b87-92e9-2ba1-6635-a882e9af9275,VeryGood,Black,Brown,008_01.jpg|008_02.jpg|008_03.jpg|008_04.jpg|008_05.jpg|008_06.jpg|008_07.jpg|008_08.jpg|008_09.jpg|008_10.jpg,1,760,Grams,,,,2.95,,FALSE,FALSE,birkenstock|shearling|sandals|black|womens|uk|4|eu|37|arizona|fur|lined,SF - Birkenstock,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,,Department: Women | Style: Sandal
,Birkenstock Gizeh Sandals Brown Mens UK 8 EU 42 Leather Toe Post Sandals,"Good Condition
Size: 42 (Measurements provided on the images)
Era: 2010s

🧵Material: Leather upper with cork footbed
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Birkenstock Gizeh sandals in oiled brown leather with a toe-post strap and an adjustable buckle over a contoured cork footbed.",24.99,,Birkenstock,001a4f3a-047b-0f09-6443-a3fd163d55b3,c5b4fd32-30d8-66da-5e18-db383b1f87f4,Good,Brown,,009_01.jpg|009_02.jpg|009_03.jpg|009_04.jpg|009_05.jpg|009_06.jpg|009_07.jpg|009_08.jpg|009_09.jpg,1,780,Grams,,,,2.95,,FALSE,FALSE,birkenstock|gizeh|sandals|brown|mens|uk|8|eu|42|leather|toe|post,SF - Birkenstock,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,,Department: Men | Style: Sandal
,Birkenstock Madrid Sandals Grey Vintage Single Strap Slide Sandals Silver,"Good Condition
Size: See measurements on the images
Era: 2010s

🧵Material: Synthetic upper with cork footbed
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Birkenstock Madrid sandals in metallic grey with a single adjustable buckle strap over a contoured cork footbed.",27.99,,Birkenstock,8ca295e3-4da1-60b0-9788-b5ab12598d45,,Good,Gray,Brown,010_01.jpg|010_02.jpg|010_03.jpg|010_04.jpg|010_05.jpg|010_06.jpg|010_07.jpg|010_08.jpg|010_09.jpg|010_10.jpg,1,640,Grams,,,,2.95,,FALSE,FALSE,birkenstock|madrid|sandals|grey|vintage|single|strap|slide|silver,SF - Birkenstock,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,,Department: Unisex Adults | Style: Sandal
