item_no,source_filename,shot_type,photo_index,notes
001,DSC00017-Photoroom.JPG,front,1,
001,DSC00018-Photoroom.JPG,back,2,
001,IMG_2708-Photoroom.JPG,detail,3,
001,IMG_2709-Photoroom.JPG,detail,4,
001,IMG_2710-Photoroom.JPG,detail,5,
001,IMG_2711-Photoroom.JPG,detail,6,
001,IMG_2715-Photoroom.JPG,measure,7,
001,IMG_2716-Photoroom.JPG,measure,8,
001,IMG_2712-Photoroom.JPG,detail,9,
001,IMG_2713-Photoroom.JPG,detail,10,
001,IMG_2714-Photoroom.JPG,detail,11,
001,IMG_2714.heic,detail,12,
001,IMG_2717.heic,detail,13,
002,IMG_2718-Photoroom.JPG,front,1,
002,DSC00022-Photoroom.JPG,back,2,
002,IMG_2719-Photoroom.JPG,detail,3,
002,IMG_2720-Photoroom.JPG,detail,4,
002,IMG_2721-Photoroom.JPG,detail,5,
002,IMG_2722-Photoroom.JPG,detail,6,
002,IMG_2727-Photoroom.JPG,measure,7,
002,IMG_2728-Photoroom.JPG,measure,8,
002,IMG_2723-Photoroom.JPG,detail,9,
002,IMG_2724-Photoroom.JPG,detail,10,
002,IMG_2725-Photoroom.JPG,detail,11,
002,IMG_2726-Photoroom.JPG,detail,12,
003,DSC00024-Photoroom.JPG,front,1,
003,DSC00025-Photoroom.JPG,back,2,
003,IMG_2729-Photoroom.JPG,detail,3,
003,IMG_2730-Photoroom.JPG,detail,4,
003,IMG_2731-Photoroom.JPG,detail,5,
003,IMG_2732-Photoroom.JPG,detail,6,
003,IMG_2735-Photoroom.JPG,measure,7,
003,IMG_2736-Photoroom.JPG,measure,8,
003,IMG_2733-Photoroom.JPG,detail,9,
003,IMG_2734-Photoroom.JPG,detail,10,
003,IMG_2737-Photoroom.JPG,detail,11,
003,IMG_2738-Photoroom.JPG,detail,12,
003,IMG_2738.heic,detail,13,
003,IMG_2739.heic,detail,14,
003,IMG_2740.heic,detail,15,
004,DSC00026-Photoroom.JPG,front,1,
004,DSC00027-Photoroom.JPG,back,2,
004,DSC00028-Photoroom.JPG,detail,3,
004,IMG_2742-Photoroom.JPG,detail,4,
004,IMG_2743-Photoroom.JPG,detail,5,
004,IMG_2744-Photoroom.JPG,detail,6,
004,IMG_2749-Photoroom.JPG,measure,7,
004,IMG_2750-Photoroom.JPG,measure,8,
004,IMG_2745-Photoroom.JPG,detail,9,
004,IMG_2746-Photoroom.JPG,detail,10,
004,IMG_2747-Photoroom.JPG,detail,11,
005,DSC00029-Photoroom.JPG,front,1,
005,DSC00030-Photoroom.JPG,back,2,
005,IMG_2751-Photoroom.JPG,detail,3,
005,IMG_2752.heic,detail,4,
005,IMG_2753-Photoroom.JPG,detail,5,
005,IMG_2757-Photoroom.JPG,detail,6,
005,IMG_2754-Photoroom.JPG,measure,7,
005,IMG_2756-Photoroom.JPG,measure,8,
005,IMG_2896-Photoroom.JPG,detail,9,
005,IMG_2897-Photoroom.JPG,detail,10,
005,IMG_2898-Photoroom 2.JPG,detail,11,
005,IMG_2898-Photoroom.JPG,detail,12,
005,IMG_2900-Photoroom.JPG,detail,13,
006,DSC00031-Photoroom.JPG,front,1,
006,DSC00032-Photoroom.JPG,back,2,
006,IMG_2760-Photoroom.JPG,detail,3,
006,IMG_2761-Photoroom.JPG,detail,4,
006,IMG_2762-Photoroom.JPG,detail,5,
006,IMG_2766-Photoroom.JPG,detail,6,
006,IMG_2763-Photoroom.JPG,measure,7,
006,IMG_2764-Photoroom.JPG,measure,8,
006,IMG_2767-Photoroom.JPG,detail,9,
007,DSC00033-Photoroom.JPG,front,1,
007,DSC00034-Photoroom.JPG,back,2,
007,IMG_2769-Photoroom.JPG,detail,3,
007,IMG_2770-Photoroom.JPG,detail,4,
007,IMG_2771-Photoroom.JPG,detail,5,
007,IMG_2772-Photoroom.JPG,detail,6,
007,IMG_2779-Photoroom.JPG,measure,7,
007,IMG_2780-Photoroom.JPG,measure,8,
007,IMG_2773-Photoroom.JPG,detail,9,
007,IMG_2774-Photoroom.JPG,detail,10,
007,IMG_2775-Photoroom.JPG,detail,11,
007,IMG_2776.heic,detail,12,
007,IMG_2778-Photoroom.JPG,detail,13,
